date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:51	100447/100447	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2026%20Oct%202023%2012:09:32%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/XdoGWL4297101.jpeg	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/nJ4YdsruyufhK9NbUqUlacBmVmD2/l/XdoGWL4297101.jpg	(from https://www.ratinhomilionario.com/rt1/)
09:08:51	136031/136031	---MC-	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202023%2012:09:32%20GMT	https://img.imageboss.me/atm/cdn/format:auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/oSdjGo6808326.png	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/img.imageboss.me/atm/cdn/format_auto/u/EzYjf3l62kZDr8sGok1XN7lJ3X02/l/oSdjGo6808326.png	(from https://www.ratinhomilionario.com/rt1/)
09:08:52	203933/203933	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2026%20Oct%202023%2012:09:32%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/connect.facebook.net/en_US/fbevents.js	(from https://www.ratinhomilionario.com/rt1/)
09:08:52	5932/5932	---MC-	200	added ('OK')	application/javascript	etag:W/%226537d394-41c3%22	https://www.ratinhomilionario.com/rt1/js/oalQdd7461257.js	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/www.ratinhomilionario.com/rt1/js/oalQdd7461257.js	(from https://www.ratinhomilionario.com/rt1/)
09:08:52	112440/112440	---M--	200	added ('OK')	font/woff2	etag:W/%221b738-OihLBhh3Hynajra+kA6ZQ5JT3OA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
09:08:53	150592/150592	---M--	200	added ('OK')	font/woff	etag:W/%2224c40-p35qLzNfP8tPKTB5SQfIjtfefKE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
09:08:53	2756/2756	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2012:09:33%20GMT	https://www.ratinhomilionario.com/rt1/a	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/www.ratinhomilionario.com/rt1/a.10.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:08:53	2756/2756	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2012:09:34%20GMT	https://www.ratinhomilionario.com/rt1/POST	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/www.ratinhomilionario.com/rt1/POST.11.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:08:53	2756/2756	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2012:09:34%20GMT	https://www.ratinhomilionario.com/rt1/schema.org/	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/www.ratinhomilionario.com/rt1/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:08:53	2756/2756	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2012:09:34%20GMT	https://www.ratinhomilionario.com/rt1/b.resolvedLink	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/www.ratinhomilionario.com/rt1/b.12.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
09:08:54	2756/2756	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2012:09:34%20GMT	https://www.ratinhomilionario.com/signals/iwl.js	C:/My%20Web%20Sites/Site%20de%20sinal%20TIGER/www.ratinhomilionario.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
09:08:54	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
